Date,Customer_ID,Customer_name,Industry,Item_ID,Item_name,Quantity,Unit_price,Salesperson
2019/7/31,C003,Customer003,C,I002,Item002,3,136,John
2019/7/31,C003,Customer003,C,I003,Item003,1,141,John
2019/7/31,C004,Customer004,D,I004,Item004,2,385,James
2019/7/31,C004,Customer004,D,I005,Item005,30,133,James
2019/7/31,C005,Customer005,C,I003,Item003,5,165,John
2019/8/1,C016,Customer016,D,I005,Item005,2,135,James
2019/8/1,C147,Customer147,L,I004,Item004,2,360,David
2019/8/2,C003,Customer003,C,I002,Item002,9,136,John
2019/8/2,C003,Customer003,C,I003,Item003,4,141,John
2019/8/2,C005,Customer005,C,I003,Item003,6,165,John
2019/8/2,C017,Customer017,D,I005,Item005,15,135,James
2019/8/2,C004,Customer004,D,I004,Item004,2,385,James
2019/8/2,C004,Customer004,D,I005,Item005,15,133,James
2019/8/2,C201,Customer201,P,I002,Item002,1,160,Emily
2019/8/2,C125,Customer125,D,I004,Item004,3,385,James
2019/8/2,C147,Customer147,L,I002,Item002,10,136,David
2019/8/2,C307,Customer307,D,I005,Item005,2,135,James
2019/8/2,C308,Customer308,D,I005,Item005,2,135,James
2019/8/5,C011,Customer011,D,I002,Item002,42,136,James
2019/8/5,C011,Customer011,D,I003,Item003,5,141,James
2019/8/5,C005,Customer005,C,I003,Item003,5,165,John
2019/8/5,C367,Customer367,F,I002,Item002,6,160,Mary
2019/8/5,C147,Customer147,L,I003,Item003,6,141,David
2019/8/5,C147,Customer147,L,I002,Item002,2,136,David
2019/8/5,C392,Customer392,C,I002,Item002,2,160,John
2019/8/5,C323,Customer323,K,I005,Item005,2,140,Jennifer
2019/8/5,C147,Customer147,L,I002,Item002,3,136,David
2019/8/6,C081,Customer081,L,I004,Item004,1,375,David
2019/8/6,C022,Customer022,L,I001,Item001,6,110,David
2019/8/6,C084,Customer084,D,I004,Item004,1,385,James
2019/8/6,C148,Customer148,F,I005,Item005,1,140,Mary
2019/8/6,C079,Customer079,E,I005,Item005,2,140,John
2019/8/6,C017,Customer017,D,I005,Item005,15,135,James
2019/8/7,C005,Customer005,C,I003,Item003,5,165,John
2019/8/7,C494,Customer494,P,I005,Item005,3,135,Emily
2019/8/7,C147,Customer147,L,I005,Item005,3,130,David
2019/8/7,C147,Customer147,L,I002,Item002,3,136,David
2019/8/7,C017,Customer017,D,I001,Item001,6,120,James
2019/8/8,C125,Customer125,D,I004,Item004,1,385,James
2019/8/9,C011,Customer011,D,I003,Item003,41,141,James
2019/8/9,C005,Customer005,C,I003,Item003,6,165,John
2019/8/9,C003,Customer003,C,I002,Item002,13,136,John
2019/8/9,C003,Customer003,C,I003,Item003,5,141,John
2019/8/9,C307,Customer307,D,I005,Item005,5,135,James
2019/8/9,C308,Customer308,D,I005,Item005,6,135,James
2019/8/9,C124,Customer124,F,I004,Item004,1,385,Mary
2019/8/12,C307,Customer307,D,I005,Item005,2,135,James
2019/8/12,C594,Customer594,C,I004,Item004,2,385,John
2019/8/12,C147,Customer147,L,I002,Item002,10,136,David
2019/8/12,C250,Customer250,D,I001,Item001,1,120,James
2019/8/12,C608,Customer608,D,I004,Item004,3,385,James
2019/8/12,C005,Customer005,C,I003,Item003,5,165,John
2019/8/12,C617,Customer617,A,I001,Item001,1,120,James
2019/8/12,C618,Customer618,B,I001,Item001,4,120,Jessica
2019/8/13,C003,Customer003,C,I002,Item002,2,136,John
2019/8/13,C003,Customer003,C,I003,Item003,1,141,John
2019/8/13,C202,Customer202,P,I001,Item001,3,120,Emily
2019/8/13,C016,Customer016,D,I002,Item002,1,150,James
2019/8/13,C264,Customer264,D,I005,Item005,2,140,James
2019/8/13,C494,Customer494,P,I005,Item005,1,135,Emily
2019/8/13,C147,Customer147,L,I003,Item003,10,141,David
2019/8/13,C392,Customer392,C,I002,Item002,2,160,John
2019/8/13,C017,Customer017,D,I005,Item005,15,135,James
2019/8/13,C647,Customer647,P,I003,Item003,3,165,Emily
2019/8/14,C652,Customer652,C,I004,Item004,2,385,John
2019/8/14,C495,Customer495,U,I005,Item005,15,135,Jessica
2019/8/14,C145,Customer145,P,I001,Item001,1,120,Emily
2019/8/14,C125,Customer125,D,I004,Item004,3,385,James
2019/8/14,C147,Customer147,L,I002,Item002,3,136,David
2019/8/14,C147,Customer147,L,I003,Item003,1,141,David
2019/8/14,C064,Customer064,S,I001,Item001,1,120,Jennifer
2019/8/15,C003,Customer003,C,I003,Item003,4,141,John
2019/8/15,C003,Customer003,C,I002,Item002,3,136,John
2019/8/15,C004,Customer004,D,I005,Item005,30,133,James
2019/8/15,C064,Customer064,S,I001,Item001,3,120,Jennifer
2019/8/15,C201,Customer201,P,I002,Item002,1,160,Emily
2019/8/15,C131,Customer131,F,I004,Item004,1,395,Mary
2019/8/15,C017,Customer017,D,I001,Item001,6,120,James
2019/8/16,C011,Customer011,D,I002,Item002,41,136,James
